Best,Active,Candidate
623629500,1202263800,1202263800
623629500,1121770000,1121770000
623629500,1137226000,1137226000
623629500,1456765400,1456765400
623629500,1933315000,1933315000
623629500,1202471600,1202471600
623629500,1237354500,1237354500
623629500,2458763300,2458763300
623629500,1895755100,1895755100
623629500,1132012300,1132012300
623629500,1260744300,1260744300
623629500,1047134600,1047134600
623629500,1063878340,1063878340
623629500,997149250,997149250
606108160,982944400,982944400
606108160,994692740,994692740
606108160,1978194400,1978194400
606108160,773453600,773453600
606108160,832116200,832116200
606108160,1249952100,1249952100
606108160,1116502000,1116502000
606108160,2340199700,2340199700
606108160,1148695400,1148695400
606108160,1119068900,1119068900
606108160,1391744300,1391744300
604616200,1347815200,1347815200
604616200,1036821400,1036821400
604616200,1784503600,1784503600
604616200,1018408060,1018408060
604616200,1511562100,1511562100
604616200,1324400000,1324400000
604616200,1060512450,1060512450
604616200,973832900,973832900
604616200,1913415000,1913415000
604616200,1116704300,1116704300
604616200,1690767900,1690767900
604616200,1372964400,1372964400
604616200,1478154600,1478154600
604616200,1089184900,1089184900
604616200,679512500,679512500
604616200,1060173760,1060173760
604616200,1070665600,1070665600
604616200,964162900,964162900
604616200,1867131900,1867131900
604616200,2020480000,2020480000
604616200,1403826200,1403826200
604616200,2172655400,2172655400
604616200,1070896100,1070896100
604616200,1186447100,1186447100
604616200,1079586200,1079586200
604616200,1547836200,1547836200
604616200,987597100,987597100
604616200,1415428200,1415428200
604616200,991640960,991640960
604616200,1116314900,1116314900
604616200,1168108300,1168108300
604616200,1273432200,1273432200
604616200,1166189400,1166189400
604616200,998251100,998251100
604616200,1039944060,1039944060
604616200,1034427840,1034427840
604616200,1102838500,1102838500
604616200,1003073500,1003073500
604616200,1184978400,1184978400
604616200,1116180500,1116180500
604616200,1114700500,1114700500
604616200,1073788900,1073788900
604616200,1866587400,1866587400
604616200,917485200,917485200
604616200,2461594600,2461594600
604616200,2222935000,2222935000
604616200,1509591800,1509591800
604616200,1176940200,1176940200
604616200,1160312400,1160312400
604616200,1193475200,1193475200
604496200,634468400,634468400
575986400,1189387000,1189387000
575986400,1509874200,1509874200
575986400,1233806000,1233806000
575986400,1329161600,1329161600
575986400,1221813400,1221813400
575986400,1714777300,1714777300
575986400,2530941000,2530941000
575986400,1201742500,1201742500
575986400,1132136000,1132136000
575986400,1172904100,1172904100
575986400,1165769000,1165769000
575986400,2373439700,2373439700
575986400,1538304000,1538304000
575986400,1402113700,1402113700
575986400,1047071000,1047071000
575986400,913237600,913237600
575986400,1052733300,1052733300
575986400,1269069200,1269069200
575986400,1002494700,1002494700
575986400,1121611400,1121611400
575986400,2777294600,2777294600
575986400,1140090000,1140090000
561321600,1298856400,1298856400
561321600,1201401100,1201401100
561321600,1509266300,1509266300
561321600,1593284400,1593284400
561321600,1130949600,1130949600
561321600,1276773900,1276773900
561321600,1088495500,1088495500
561321600,1027572300,1027572300
561321600,1448248700,1448248700
561321600,1077032000,1077032000
561321600,1058425660,1058425660
561321600,2430190800,2430190800
561321600,1123896000,1123896000
561321600,1045538800,1045538800
561321600,1223800700,1223800700
561321600,834532740,834532740
561321600,977506600,977506600
561321600,2140594400,2140594400
561321600,1083476600,1083476600
561321600,816186900,816186900
561321600,1225997000,1225997000
561321600,1337672000,1337672000
561321600,1059956300,1059956300
561321600,1363100700,1363100700
561321600,1178147300,1178147300
561321600,1077901600,1077901600
561321600,1000092000,1000092000
561321600,1083559000,1083559000
561321600,2300952300,2300952300
561321600,1050265540,1050265540
561321600,1118968400,1118968400
561321600,1056271700,1056271700
561321600,1981407600,1981407600
561321600,1132630900,1132630900
561321600,1897123600,1897123600
561321600,1218089700,1218089700
561321600,1203415200,1203415200
561321600,1167656400,1167656400
561321600,1186749000,1186749000
561321600,1123771300,1123771300
561321600,2114800000,2114800000
561321600,1258478500,1258478500
561321600,1242330400,1242330400
561321600,1263413600,1263413600
561321600,1034879100,1034879100
561321600,1107217500,1107217500
561321600,1090616800,1090616800
561321600,1109550300,1109550300
561321600,1486363500,1486363500
561321600,1281297800,1281297800
561321600,1215687600,1215687600
561321600,1650201100,1650201100
561321600,1263327100,1263327100
561321600,1241805600,1241805600
561321600,1077290600,1077290600
561321600,940186940,940186940
561321600,1543082000,1543082000
561321600,1780995100,1780995100
561321600,1072673540,1072673540
561321600,1108535300,1108535300
561321600,1959370500,1959370500
561321600,1101539500,1101539500
561321600,1175905700,1175905700
561321600,1309286800,1309286800
561321600,2776923000,2776923000
561321600,1227249800,1227249800
561321600,1178895000,1178895000
561321600,1047118800,1047118800
561321600,1716351100,1716351100
560920200,1089979800,1089979800
560920200,1215536900,1215536900
560920200,1103509400,1103509400
560920200,1142249300,1142249300
560920200,1822232000,1822232000
560920200,2243915300,2243915300
560920200,1014618050,1014618050
560920200,1099191300,1099191300
560920200,2105087900,2105087900
560920200,1278518000,1278518000
560920200,1115931400,1115931400
560920200,1004332860,1004332860
560920200,1006837800,1006837800
560920200,1295771100,1295771100
